scenario,epochs,method,seed,position,dateIndex,dateColumn
random_missing_160,160,random_missing,20276825,35,48,D20181019
random_missing_160,160,random_missing,20276825,36,49,D20181031
random_missing_160,160,random_missing,20276825,37,50,D20181112
random_missing_160,160,random_missing,20276825,38,51,D20181124
random_missing_160,160,random_missing,20276825,39,52,D20181206
random_missing_160,160,random_missing,20276825,40,53,D20181218
random_missing_160,160,random_missing,20276825,41,54,D20181230
random_missing_160,160,random_missing,20276825,42,56,D20190123
random_missing_160,160,random_missing,20276825,43,57,D20190204
random_missing_160,160,random_missing,20276825,44,58,D20190216
random_missing_160,160,random_missing,20276825,45,62,D20190405
random_missing_160,160,random_missing,20276825,46,64,D20190429
random_missing_160,160,random_missing,20276825,47,65,D20190511
random_missing_160,160,random_missing,20276825,48,68,D20190616
random_missing_160,160,random_missing,20276825,49,69,D20190628
random_missing_160,160,random_missing,20276825,50,72,D20190803
random_missing_160,160,random_missing,20276825,51,73,D20190815
random_missing_160,160,random_missing,20276825,52,74,D20190827
random_missing_160,160,random_missing,20276825,53,75,D20190908
random_missing_160,160,random_missing,20276825,54,76,D20190920
random_missing_160,160,random_missing,20276825,55,77,D20191002
random_missing_160,160,random_missing,20276825,56,78,D20191014
random_missing_160,160,random_missing,20276825,57,80,D20191107
random_missing_160,160,random_missing,20276825,58,84,D20191225
random_missing_160,160,random_missing,20276825,59,85,D20200106
random_missing_160,160,random_missing,20276825,60,86,D20200118
random_missing_160,160,random_missing,20276825,61,90,D20200306
random_missing_160,160,random_missing,20276825,62,92,D20200330
random_missing_160,160,random_missing,20276825,63,94,D20200423
random_missing_160,160,random_missing,20276825,64,96,D20200517
random_missing_160,160,random_missing,20276825,65,99,D20200622
random_missing_160,160,random_missing,20276825,66,100,D20200704
random_missing_160,160,random_missing,20276825,67,101,D20200716
random_missing_160,160,random_missing,20276825,68,104,D20200821
random_missing_160,160,random_missing,20276825,69,107,D20200926
random_missing_160,160,random_missing,20276825,70,108,D20201008
random_missing_160,160,random_missing,20276825,71,109,D20201020
random_missing_160,160,random_missing,20276825,72,110,D20201101
random_missing_160,160,random_missing,20276825,73,111,D20201113
random_missing_160,160,random_missing,20276825,74,112,D20201125
random_missing_160,160,random_missing,20276825,75,114,D20201219
random_missing_160,160,random_missing,20276825,76,117,D20210124
random_missing_160,160,random_missing,20276825,77,121,D20210313
random_missing_160,160,random_missing,20276825,78,122,D20210325
random_missing_160,160,random_missing,20276825,79,123,D20210406
random_missing_160,160,random_missing,20276825,80,126,D20210512
random_missing_160,160,random_missing,20276825,81,127,D20210524
random_missing_160,160,random_missing,20276825,82,129,D20210617
random_missing_160,160,random_missing,20276825,83,131,D20210711
random_missing_160,160,random_missing,20276825,84,132,D20210723
random_missing_160,160,random_missing,20276825,85,133,D20210804
random_missing_160,160,random_missing,20276825,86,134,D20210816
random_missing_160,160,random_missing,20276825,87,137,D20210921
random_missing_160,160,random_missing,20276825,88,138,D20211003
random_missing_160,160,random_missing,20276825,89,140,D20211027
random_missing_160,160,random_missing,20276825,90,142,D20211120
random_missing_160,160,random_missing,20276825,91,143,D20211202
random_missing_160,160,random_missing,20276825,92,145,D20211226
random_missing_160,160,random_missing,20276825,93,146,D20220107
random_missing_160,160,random_missing,20276825,94,147,D20220119
random_missing_160,160,random_missing,20276825,95,148,D20220131
random_missing_160,160,random_missing,20276825,96,150,D20220224
random_missing_160,160,random_missing,20276825,97,151,D20220308
random_missing_160,160,random_missing,20276825,98,158,D20220531
random_missing_160,160,random_missing,20276825,99,159,D20220612
random_missing_160,160,random_missing,20276825,100,161,D20220706
random_missing_160,160,random_missing,20276825,101,163,D20220730
random_missing_160,160,random_missing,20276825,102,165,D20220823
random_missing_160,160,random_missing,20276825,103,166,D20220904
random_missing_160,160,random_missing,20276825,104,167,D20220916
random_missing_160,160,random_missing,20276825,105,168,D20220928
random_missing_160,160,random_missing,20276825,106,169,D20221010
random_missing_160,160,random_missing,20276825,107,170,D20221022
random_missing_160,160,random_missing,20276825,108,171,D20221103
random_missing_160,160,random_missing,20276825,109,172,D20221115
random_missing_160,160,random_missing,20276825,110,173,D20221127
random_missing_160,160,random_missing,20276825,111,175,D20221221
random_missing_160,160,random_missing,20276825,112,176,D20230102
random_missing_160,160,random_missing,20276825,113,178,D20230126
random_missing_160,160,random_missing,20276825,114,179,D20230207
random_missing_160,160,random_missing,20276825,115,180,D20230219
random_missing_160,160,random_missing,20276825,116,183,D20230327
random_missing_160,160,random_missing,20276825,117,184,D20230408
random_missing_160,160,random_missing,20276825,118,185,D20230420
random_missing_160,160,random_missing,20276825,119,187,D20230514
random_missing_160,160,random_missing,20276825,120,188,D20230526
random_missing_160,160,random_missing,20276825,121,190,D20230619
random_missing_160,160,random_missing,20276825,122,197,D20230911
random_missing_160,160,random_missing,20276825,123,198,D20230923
random_missing_160,160,random_missing,20276825,124,199,D20231005
random_missing_160,160,random_missing,20276825,125,200,D20231017
random_missing_160,160,random_missing,20276825,126,202,D20231110
random_missing_160,160,random_missing,20276825,127,203,D20231122
random_missing_160,160,random_missing,20276825,128,206,D20231228
random_missing_160,160,random_missing,20276825,129,210,D20240214
random_missing_160,160,random_missing,20276825,130,211,D20240226
random_missing_160,160,random_missing,20276825,131,213,D20240321
random_missing_160,160,random_missing,20276825,132,214,D20240402
random_missing_160,160,random_missing,20276825,133,215,D20240414
random_missing_160,160,random_missing,20276825,134,216,D20240426
random_missing_160,160,random_missing,20276825,135,217,D20240508
random_missing_160,160,random_missing,20276825,136,219,D20240601
random_missing_160,160,random_missing,20276825,137,221,D20240625
random_missing_160,160,random_missing,20276825,138,222,D20240707
random_missing_160,160,random_missing,20276825,139,224,D20240731
random_missing_160,160,random_missing,20276825,140,225,D20240812
random_missing_160,160,random_missing,20276825,141,226,D20240824
random_missing_160,160,random_missing,20276825,142,227,D20240905
random_missing_160,160,random_missing,20276825,143,228,D20240917
random_missing_160,160,random_missing,20276825,144,229,D20240929
random_missing_160,160,random_missing,20276825,145,230,D20241011
random_missing_160,160,random_missing,20276825,146,231,D20241023
random_missing_160,160,random_missing,20276825,147,232,D20241104
random_missing_160,160,random_missing,20276825,148,233,D20241116
random_missing_160,160,random_missing,20276825,149,234,D20241128
random_missing_160,160,random_missing,20276825,150,235,D20241210
random_missing_160,160,random_missing,20276825,151,236,D20241222
random_missing_160,160,random_missing,20276825,152,237,D20250103
random_missing_160,160,random_missing,20276825,153,238,D20250115
random_missing_160,160,random_missing,20276825,154,240,D20250208
random_missing_160,160,random_missing,20276825,155,241,D20250220
random_missing_160,160,random_missing,20276825,156,242,D20250304
random_missing_160,160,random_missing,20276825,157,245,D20250409
random_missing_160,160,random_missing,20276825,158,246,D20250421
random_missing_160,160,random_missing,20276825,159,247,D20250503
continuous_gap_160,160,continuous_gap,20276826,0,0,D20170322
